1862 0
-11	0	8	15.3449	0.6147811	1
-11	0	9	24.54016	1.084876	1
-11	1	3	11.69976	0.955011	1
-11	1	4	12.12466	1.035238	1
-11	1	6	17.58053	1.093183	1
-11	2	3	11.85272	0.9840692	1
-11	2	5	20.85149	0.6764922	1
-11	2	8	12.2398	1.058353	1
-11	3	6	16.62952	0.6543584	1
-10	0	3	12.58838	0.9497828	1
-10	0	4	27.4555	0.9118295	1
-10	0	13	11.49195	0.8278651	1
-10	1	2	11.74186	0.6745652	1
-10	1	3	13.3477	0.4721529	1
-10	1	5	13.23308	0.6866608	1
-10	1	6	14.07854	0.569919	1
-10	1	7	13.82062	0.5635435	1
-10	1	9	14.25224	0.4825296	1
-10	1	10	18.17096	0.511661	1
-10	1	11	18.43796	0.6118438	1
-10	1	12	14.57131	0.6846048	1
-10	2	1	14.07267	0.6922114	1
-10	2	3	17.47398	0.5951513	1
-10	2	5	16.49756	0.5301727	1
-10	2	7	16.11658	0.4347444	1
-10	2	10	26.98285	0.5626438	1
-10	3	3	18.28003	0.7646683	1
-10	3	5	11.46267	0.3912366	1
-10	3	7	13.65552	0.6481105	1
-10	3	9	17.68899	0.6230436	1
-10	3	10	20.01102	1.19806	1
-10	5	1	9.725468	0.7951462	1
-10	5	2	10.86367	0.8035848	0
-10	5	6	10.52659	0.8497004	1
-10	5	7	10.84537	0.8428341	1
-9	0	1	16.60672	0.6407503	1
-9	0	2	12.19641	0.504244	1
-9	0	4	16.27608	0.4915253	1
-9	0	5	34.93483	0.8479517	1
-9	0	6	26.48638	1.271281	0
-9	0	8	11.46334	0.5568548	1
-9	0	10	30.17282	0.6900196	1
-9	0	11	16.39828	0.7193978	1
-9	0	14	13.27883	0.5451277	1
-9	0	15	13.77829	0.8431219	1
-9	1	2	14.25361	0.3496014	1
-9	1	3	10.57246	0.6280627	1
-9	1	4	10.86972	0.5135309	1
-9	1	5	25.85392	0.7011147	1
-9	1	6	24.31313	0.67558	1
-9	1	7	17.4989	0.4233258	1
-9	1	11	13.92678	0.540562	1
-9	1	13	14.78829	0.4108762	1
-9	1	14	18.09433	0.4244915	1
-9	2	1	12.91986	0.8004596	1
-9	2	2	21.15385	0.5707191	1
-9	2	3	16.78834	0.6276978	1
-9	2	6	24.81932	0.5350731	1
-9	2	7	19.55736	0.3686535	1
-9	2	8	27.10352	0.4583369	1
-9	2	10	29.64734	0.5420914	1
-9	2	12	21.74494	0.4056793	1
-9	2	13	14.52612	0.7059347	1
-9	2	14	13.74227	1.075663	1
-9	3	3	13.57254	0.4849882	1
-9	3	4	10.61742	0.781067	1
-9	3	5	11.09123	0.4206739	1
-9	3	7	13.15617	0.8867198	0
-9	3	10	11.74106	0.8394866	1
-9	3	11	14.68163	0.5471038	0
-9	4	1	13.92109	0.4147833	0
-9	4	3	10.15509	0.5860463	1
-9	4	5	14.71014	0.676881	1
-9	4	6	21.27023	0.5427318	1
-9	4	7	13.02662	0.4805504	1
-9	4	8	10.56054	0.5695457	0
-9	4	10	18.18091	0.4628748	1
-9	5	1	19.55214	0.5518496	1
-9	5	4	9.917896	0.5824388	1
-9	5	5	14.36844	0.9394285	1
-9	6	1	11.79148	0.3686032	1
-9	6	2	13.20075	0.4376812	1
-9	6	6	12.1819	0.6095451	1
-8	0	1	17.69729	0.5178122	1
-8	0	2	25.74015	0.7405275	1
-8	0	7	23.77155	0.6977628	1
-8	0	8	45.38903	1.001119	1
-8	0	9	25.62707	0.6851305	1
-8	0	10	22.69505	0.5463606	1
-8	0	12	13.46003	0.9389799	1
-8	0	13	18.28068	0.6277598	1
-8	1	1	11.85039	0.38898	1
-8	1	2	22.07236	0.4702874	1
-8	1	3	28.99515	0.5235122	1
-8	1	4	24.69525	0.5530521	1
-8	1	6	12.49541	0.8638222	1
-8	1	7	16.24129	0.398304	1
-8	1	9	12.40534	0.4822324	0
-8	1	11	12.34576	0.3639829	1
-8	1	12	9.211395	0.6623036	1
-8	1	13	21.41532	0.445907	1
-8	1	15	13.99922	0.7353558	1
-8	1	16	14.72576	0.5582335	1
-8	2	1	10.65406	0.4557857	1
-8	2	2	9.675236	0.8652475	1
-8	2	3	16.61829	0.6931838	1
-8	2	5	23.61203	0.4898252	1
-8	2	6	27.99699	0.554069	1
-8	2	7	19.58759	0.5626761	1
-8	2	8	17.79093	0.7148232	1
-8	2	9	17.12805	0.4234846	1
-8	2	10	17.88766	0.3702678	1
-8	2	11	14.01201	0.4151781	1
-8	2	12	11.13706	0.7843914	1
-8	2	13	27.80097	0.5145285	1
-8	3	1	10.0064	0.749256	1
-8	3	3	27.74744	0.6187985	1
-8	3	4	25.33586	0.4716998	1
-8	3	5	20.43791	0.5216659	1
-8	3	6	25.90436	0.5224018	1
-8	3	7	16.39263	0.379475	1
-8	3	8	16.19705	0.5345057	1
-8	3	9	10.01254	0.484272	1
-8	3	11	16.3927	0.436741	1
-8	3	14	18.49381	0.5054531	1
-8	3	15	20.73967	0.6064467	1
-8	4	1	8.604159	0.6323025	1
-8	4	2	10.6252	0.4690924	1
-8	4	3	17.35279	0.4842356	1
-8	4	4	18.2387	0.5616493	1
-8	4	5	29.91165	0.5780234	1
-8	4	6	12.13312	0.8265612	1
-8	4	7	17.74539	0.5017544	1
-8	4	8	26.51437	0.4329042	1
-8	4	9	10.21579	0.5298791	1
-8	4	11	9.442789	0.4776939	1
-8	4	12	10.65371	0.4350325	1
-8	4	13	19.17351	0.4089396	1
-8	4	14	17.91878	0.621347	1
-8	4	15	20.0737	0.8944278	1
-8	5	1	8.205836	0.6375179	1
-8	5	2	12.26171	0.8724119	1
-8	5	3	30.83831	0.5164536	1
-8	5	4	13.7503	0.5710193	1
-8	5	7	11.92011	0.4103084	1
-8	5	8	16.00293	0.5019524	1
-8	5	11	8.154118	0.6795349	1
-8	6	2	18.91496	0.4455231	1
-8	6	3	20.82812	0.6033877	1
-8	6	5	17.78255	0.9206127	1
-8	6	7	9.784353	0.7964182	1
-8	6	8	10.01574	0.5065648	0
-8	6	9	19.89572	0.4866872	1
