47112 0
0 0 3 177.9632 1.362934 1
0 0 4 204.262 1.59034 1
0 0 5 185.0023 0.786454 1
0 0 6 48.32338 0.2593274 1
0 0 7 49.22353 0.2681034 1
0 0 8 85.11914 0.4833674 1
0 0 9 107.6736 0.5087901 1
0 0 10 61.94461 0.3132987 1
0 0 11 185.4127 0.7272912 1
0 0 12 11.04954 0.1908098 1
0 0 13 142.2557 0.6454759 1
0 0 14 33.9268 0.2745994 0
0 0 15 74.79136 0.4581871 1
0 0 16 73.96313 0.4843154 1
0 0 17 57.04836 0.3888046 1
0 0 18 15.21794 0.2406035 1
0 0 19 51.09542 0.3711631 1
0 0 20 6.512639 0.3600868 1
0 0 21 34.65873 0.336022 1
0 0 22 63.08658 0.4693832 1
0 0 25 20.57302 0.3289889 1
0 0 26 78.79889 0.5080738 1
0 0 27 20.89292 0.3452079 1
0 0 28 9.017175 0.4953298 0
0 0 29 45.85348 0.4112012 1
0 0 30 41.8104 0.3713813 1
0 0 31 4.75246 1.492717 1
0 0 32 17.21734 0.4774419 1
0 0 33 73.60764 0.5183023 1
0 0 34 10.27062 0.8218809 1
0 0 35 37.53035 0.4551779 1
0 0 36 56.78275 0.5371591 1
0 0 37 7.915583 1.239558 1
0 0 38 10.21017 1.259678 1
0 0 39 4.780698 2.31026 1
0 0 40 2.624388 1.760706 1
0 0 41 56.56736 0.6608405 1
0 0 42 14.67748 1.173193 1
0 0 43 3.16555 2.262913 1
0 0 45 20.13756 2.857847 1
0 0 46 37.9985 1.122853 1
0 0 47 46.02459 1.102525 1
0 0 48 14.84307 3.074348 0
0 0 49 5.738488 3.557459 1
0 0 50 27.19103 2.318522 1
0 0 51 8.822143 4.479818 1
0 0 52 22.09151 4.134643 1
0 0 53 21.32021 3.650061 1
0 0 54 17.35808 7.10824 1
0 0 55 10.56757 5.971279 1
0 2 2 137.5328 0.6635788 1
0 2 3 69.41112 0.4744894 1
0 2 4 120.9684 0.3538461 1
0 2 5 76.73795 0.2008648 1
0 2 6 57.16596 0.1610051 1
